ts,Protocol_name,Duration,Protocol Type,flow_duration,Header_Length,src_ip_bytes,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,dst_ip_bytes,Rate,Srate,Drate,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,Correlation,RARP,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time,source_ip,source_mac
1701113601.499009,TCP,61,6,0.021568775177001953,1849,3,0,0,0,1,1,0,0,0,17,139.08995644772622,139.08995644772622,0.0,0,0,0,3,3,1701113601.499009,1701113601.47744,5103340804.45959,1701113601.48653,0.009125685835691042,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,4177,54,1096,278.46666666666664,310.57170222385395,514,0.008404970169067383,15,808448,23.59943502148586,439.2147133742726,96454.78222222222,1.0,225,1.0,0,0,0,0,0,0.015867948532104492,0.021568775177001953,162.247.243.29,0
1701113601.49908,TCP,128,6,0.02163982391357422,1915,17,0,0,0,0,1,0,0,0,3,184.8443876426777,184.8443876426777,0.0,0,0,0,3,4,1701113601.49908,1701113601.47744,6804454405.95867,1701113601.4896674,0.00959114806282967,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,4243,54,1096,265.1875,305.07605993219136,66,7.104873657226562e-05,16,808448,23.02987190585306,431.4427015114521,93071.40234375,1.0,256,0.9999999999999998,0,0,0,0,0,7.104873657226562e-05,0.02163982391357422,10.216.22.121,0
1701113601.503613,TCP,61,6,0.018066883087158203,1584,4,0,0,0,1,1,0,0,0,18,166.04967140858824,166.04967140858824,0.0,0,0,0,2,3,1701113601.503613,1701113601.485546,5103340804.479763,1701113601.4932544,0.0076101515644226864,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,4677,54,1096,275.11764705882354,298.62072784779366,434,0.004533052444458008,17,808448,23.457094750152823,422.31348332807477,89174.33910034603,1.0,289,0.9999999999999998,0,0,0,0,0,0.013009071350097656,0.018066883087158203,162.247.243.29,0
1701113601.520358,TCP,61,6,0.034811973571777344,2018,5,0,0,0,1,1,0,0,0,19,114.9029942744432,114.9029942744432,0.0,0,0,0,3,4,1701113601.520358,1701113601.485546,6804454406.000121,1701113601.5000303,0.01346015269051406,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,5111,54,1096,283.94444444444446,292.4802884568505,434,0.01674509048461914,18,808448,23.830419402286836,413.629590662473,85544.71913580249,1.0,324,0.9999999999999997,0,0,0,0,0,0.01674509048461914,0.034811973571777344,162.247.243.29,0
1701113601.520401,TCP,128,6,0.034854888916015625,2084,18,0,0,0,0,1,0,0,0,4,143.45189887271533,143.45189887271533,0.0,0,0,0,3,5,1701113601.520401,1701113601.485546,8505568007.520522,1701113601.5041044,0.014537371754868219,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,5177,54,1096,272.4736842105263,288.8092374271791,66,4.291534423828125e-05,19,808448,23.344107788070474,408.43794050814796,83410.77562326871,1.0,361,0.9999999999999999,0,0,0,0,0,4.291534423828125e-05,0.034854888916015625,10.216.22.121,0
1701113601.606879,TCP,49,6,0.0,54,1,0,0,0,0,1,0,0,0,20,143.45189887271533,143.45189887271533,0.0,0,0,0,0,1,1701113601.606879,1701113601.606879,1701113601.606879,1701113601.606879,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,5231,54,1096,261.55,285.49509190176985,54,1701113601.606879,0,808448,23.344107788070474,408.43794050814796,83410.77562326871,1.0,361,0.9999999999999999,0,0,0,0,0,1701113601.606879,0.0,20.221.80.166,0
1701113601.60694,TCP,128,6,6.103515625e-05,108,19,0,0,0,0,1,0,0,0,1,32768.0,32768.0,0.0,0,0,0,0,2,1701113601.60694,1701113601.606879,3402227203.213819,1701113601.6069095,3.0517578125e-05,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,54,54,54,54.0,0.0,54,6.103515625e-05,1,808448,10.392304845413264,0.0,0.0,0.0,1,0.0,0,0,0,0,0,6.103515625e-05,6.103515625e-05,10.216.22.121,0
1701113602.039189,TCP,128,6,6.202230215072632,274,20,0,0,0,1,1,0,0,0,6,0.483696976082799,0.483696976082799,0.0,0,0,0,2,3,1701113602.039189,1701113595.836959,5103340793.757526,1701113597.9191754,2.9133461295448724,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,164,54,110,82.0,28.0,110,0.4322490692138672,2,808448,12.806248474865697,39.59797974644666,784.0,1.0,4,1.0,0,0,0,0,0,6.157811164855957,6.202230215072632,10.216.22.121,0
1701113602.040758,TCP,128,6,5.237015962600708,382,21,0,0,0,1,1,0,0,0,7,0.7637937383741705,0.7637937383741705,0.0,0,0,0,3,4,1701113602.040758,1701113596.803742,6804454392.554834,1701113598.1387086,2.2530128538872183,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,274,54,110,91.33333333333333,26.398653164297773,110,0.0015687942504882812,3,808448,13.515423288475528,37.33333333333333,696.8888888888888,1.0,9,1.0,0,0,0,0,0,5.1612489223480225,5.237015962600708,10.216.22.121,0
1701113602.041486,TCP,128,6,5.237565040588379,382,22,0,0,0,1,1,0,0,0,8,0.763713666370174,0.763713666370174,0.0,0,0,0,3,4,1701113602.041486,1701113596.803921,6804454392.555741,1701113598.1389353,2.2533015987080964,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,384,54,110,96.0,24.24871130596428,110,0.0007281303405761719,4,808448,13.856406460551018,34.292856398964496,588.0,1.0,16,1.0,0,0,0,0,0,5.161977052688599,5.237565040588379,10.216.22.121,0
